date,dl_ue_throughput_num,dl_ue_throughput_den,cell_name
2023-08-14T11:00:00-05:00,474070106.8,56500.648,L-401216-33
2023-08-14T15:00:00-05:00,474911936.648,77002.414,L-401216-33
2023-08-14T19:00:00-05:00,439347429.304,68777.425,L-401216-33
2023-08-14T23:00:00-05:00,309198424.192,37395.519,L-401216-33
2023-08-15T03:00:00-05:00,145860820.648,7813.57,L-401216-33
2023-08-15T07:00:00-05:00,218388133.84,21121.659,L-401216-33
2023-08-15T11:00:00-05:00,488146906.608,67214.198,L-401216-33
2023-08-15T15:00:00-05:00,505183795.32799995,91772.39199999999,L-401216-33
2023-08-15T19:00:00-05:00,456144832.712,65577.90899999999,L-401216-33
2023-08-15T23:00:00-05:00,342247603.39199996,40235.968,L-401216-33
2023-08-16T03:00:00-05:00,174691942.12,8979.449999999999,L-401216-33
2023-08-16T07:00:00-05:00,287442692.31200004,36231.418999999994,L-401216-33
2023-08-16T11:00:00-05:00,468606799.664,62048.268,L-401216-33
2023-08-16T15:00:00-05:00,546529453.816,104803.913,L-401216-33
2023-08-16T19:00:00-05:00,546032810.24,99508.051,L-401216-33
2023-08-16T23:00:00-05:00,353726936.936,49291.045,L-401216-33
2023-08-17T03:00:00-05:00,134067392.42400001,8250.581,L-401216-33
2023-08-17T07:00:00-05:00,254149852.464,21661.736,L-401216-33
2023-08-17T11:00:00-05:00,451910041.528,67116.357,L-401216-33
2023-08-17T15:00:00-05:00,555709712.208,94177.24,L-401216-33
2023-08-17T19:00:00-05:00,470789618.85599995,64211.519,L-401216-33
2023-08-17T23:00:00-05:00,333486354.088,35338.502,L-401216-33
2023-08-18T03:00:00-05:00,158232344.79999998,8341.071,L-401216-33
2023-08-18T07:00:00-05:00,236917429.0,22952.896999999997,L-401216-33
2023-08-18T11:00:00-05:00,534421166.24799997,67848.10800000001,L-401216-33
2023-08-18T15:00:00-05:00,586948222.2320001,115995.614,L-401216-33
2023-08-18T19:00:00-05:00,481928356.72800004,65571.755,L-401216-33
2023-08-18T23:00:00-05:00,333696703.34400004,45542.144,L-401216-33
2023-08-19T03:00:00-05:00,198577281.06399998,10603.37,L-401216-33
2023-08-19T07:00:00-05:00,171338358.95999998,11784.892,L-401216-33
2023-08-19T11:00:00-05:00,475245202.552,64863.594,L-401216-33
2023-08-19T15:00:00-05:00,509581095.77599996,89513.83099999999,L-401216-33
2023-08-19T19:00:00-05:00,376536385.136,47798.388000000006,L-401216-33
2023-08-19T23:00:00-05:00,334367255.888,36631.934,L-401216-33
2023-08-20T03:00:00-05:00,165731967.464,10396.648000000001,L-401216-33
2023-08-20T07:00:00-05:00,164774850.304,7286.772000000001,L-401216-33
2023-08-20T11:00:00-05:00,424657333.576,36570.479,L-401216-33
2023-08-20T15:00:00-05:00,401550191.28,47214.572,L-401216-33
2023-08-20T19:00:00-05:00,368455326.408,43295.693,L-401216-33
2023-08-20T23:00:00-05:00,372615819.96799994,48304.144,L-401216-33
2023-08-21T03:00:00-05:00,141079634.65600002,8821.746,L-401216-33
2023-08-21T07:00:00-05:00,269815428.03999996,28320.865999999998,L-401216-33
2023-08-21T11:00:00-05:00,569312214.176,88114.749,L-401216-33
2023-08-21T15:00:00-05:00,590178718.5999999,105955.168,L-401216-33
2023-08-21T19:00:00-05:00,472165980.352,69809.207,L-401216-33
2023-08-21T23:00:00-05:00,314541963.176,40650.484,L-401216-33
2023-08-22T03:00:00-05:00,172771899.95999998,9028.0,L-401216-33
2023-08-22T07:00:00-05:00,248000026.13599998,30237.073,L-401216-33
2023-08-22T11:00:00-05:00,460198242.312,66138.034,L-401216-33
2023-08-22T15:00:00-05:00,506104216.264,88556.724,L-401216-33
2023-08-22T19:00:00-05:00,464417268.16,80171.253,L-401216-33
2023-08-22T23:00:00-05:00,325532697.072,44811.253,L-401216-33
2023-08-23T03:00:00-05:00,146329717.936,8152.789,L-401216-33
2023-08-23T07:00:00-05:00,237833957.968,23740.249,L-401216-33
2023-08-23T11:00:00-05:00,479768363.9599999,58940.962,L-401216-33
2023-08-23T15:00:00-05:00,561546423.48,105201.101,L-401216-33
